timestamp,avail (mebibytes),anomaly%,annotations
1755920742000,744.4336,-,-
1755920743000,731.5664,-,-
1755920744000,725.125,-,-
1755920745000,719.5742,-,-
1755920746000,715.7539,-,-
1755920747000,712.3906,-,-
1755920748000,742.3633,-,-
1755920749000,800.3125,-,-
1755920750000,797.9766,-,-
1755920751000,-,-,-
1755920752000,-,-,-
1755920753000,-,-,-
1755920754000,797.4335,-,-
1755920755000,796.8828,-,-
1755920756000,794.5273,-,-
1755920757000,788.9062,-,-
1755920758000,790.6641,-,-
1755920759000,776.7148,-,-
1755920760000,781.3555,-,-
1755920761000,814.2188,-,-
1755920762000,812.5938,-,-
1755920763000,810.6797,-,-
1755920764000,810.4531,-,-
1755920765000,808.6367,-,-
1755920766000,806.8984,-,-
1755920767000,805.5156,-,-
1755920768000,803.668,-,-
1755920769000,802.5781,-,-
1755920770000,796.2969,-,-
1755920771000,790.3047,-,-
1755920772000,789.1992,-,-
1755920773000,788.1758,-,-
1755920774000,783.75,-,-
1755920775000,781.9414,-,-
1755920776000,780.1328,-,-
1755920777000,778.9961,-,-
1755920778000,780.7656,-,-
1755920779000,778.0078,-,-
1755920780000,776.2305,-,-
1755920781000,775.3945,-,-
1755920782000,776.1914,-,-
1755920783000,776.5664,-,-
1755920784000,776.2812,-,-
1755920785000,774.1484,-,-
1755920786000,771.8008,-,-
1755920787000,-,-,-
1755920788000,-,-,-
1755920789000,-,-,-
1755920790000,772.8524,-,-
1755920791000,773.918,-,-
1755920792000,774.3828,-,-
1755920793000,771.8828,-,-
1755920794000,775.7461,-,-
1755920795000,773.5703,-,-
1755920796000,773.5977,-,-
1755920797000,863.293,-,-
1755920798000,861.0703,-,-
1755920799000,860.6094,-,-
1755920800000,859.6172,-,-
1755920801000,858.0586,-,-
1755920802000,855.6289,-,-
1755920803000,857.3828,-,-
1755920804000,855.7031,-,-
1755920805000,858.0703,-,-
1755920806000,856.5273,-,-
1755920807000,855.4688,-,-
1755920808000,857.1094,-,-
1755920809000,857.8906,-,-
1755920810000,855.5273,-,-
1755920811000,855.3281,-,-
1755920812000,855.5508,-,-
1755920813000,853.5234,-,-
1755920814000,852.0859,-,-
1755920815000,850.3711,-,-
1755920816000,848.8438,-,-
1755920817000,849.0312,-,-
1755920818000,855.2383,-,-
1755920819000,853.2969,-,-
1755920820000,854.3516,-,-
1755920821000,852.5273,-,-
1755920822000,853.1719,-,-
1755920823000,-,-,-
1755920824000,-,-,-
1755920825000,-,-,-
1755920826000,849.2628,-,-
1755920827000,845.2969,-,-
1755920828000,845.0039,-,-
1755920829000,847.5625,-,-
